order_id,cumsum_quantity,market_value,avg_price,profits,transaction_cost,datetime,position_id,position_side,pnl,order_book_id
-1.0,1100.0,13882.0,12.62,275.0,0.0,2015-05-22 00:00:00,31,多,13049.811599999997,000402.XSHE
-1.0,1350.0,37407.0,27.70888888888889,50.0,0.0,2015-05-15 00:00:00,21,多,37819.189800000015,002555.XSHE
-1.0,800.0,25032.0,31.29,160.0,0.0,2014-04-18 00:00:00,15,多,18633.196200000002,002555.XSHE
-1.0,1600.0,9983.999999999998,6.239999999999999,240.0,0.0,2014-07-24 00:00:00,5,多,-2054.808799999999,600649.XSHG
-1.0,1600.0,10992.0,6.87,320.0,0.0,2015-06-19 00:00:00,7,多,-1269.5321999999987,600649.XSHG
-1.0,3100.0,33218.00000000001,10.715483870967743,93.0,0.0,2012-05-16 00:00:00,5,多,4533.016800000003,002555.XSHE
-1.0,0.0,0.0,0.0,40.0,0.0,2013-06-13 00:00:00,8,多,-200.64900000000426,002466.XSHE
-1.0,0.0,0.0,0.0,70.0,0.0,2014-07-10 00:00:00,6,多,213.03959999999887,600674.XSHG
-1.0,2300.0,21780.999999999996,9.469999999999999,690.0,0.0,2017-07-14 00:00:00,30,多,4309.790799999998,600674.XSHG
-1.0,1100.0,34818.0,31.652727272727272,100.0,0.0,2012-05-15 00:00:00,4,多,1320.5513999999973,002466.XSHE
-1.0,1080.0,15170.400000000001,14.046666666666669,174.0,0.0,2015-04-13 00:00:00,31,多,13789.4892,000001.XSHE
-1.0,1400.0,25683.0,18.345,70.0,0.0,2016-06-06 00:00:00,25,多,86473.1066,002555.XSHE
-1.0,2399.999999999999,22883.58348756159,9.534826453150666,169.99999999999997,0.0,2015-05-13 00:00:00,16,多,13742.905409691293,002385.XSHE
-1.0,3398.25087,40783.323000000004,12.001269052864247,305.677,0.0,2013-05-28 00:00:00,16,多,9749.640999999987,002385.XSHE
-1.0,800.0,14364.000000000002,17.955000000000002,120.0,0.0,2012-05-04 00:00:00,11,多,4381.387799999994,002385.XSHE
-1.0,500.0,18450.0,36.9,100.0,0.0,2010-08-10 00:00:00,1,多,85.16,002385.XSHE
-1.0,600.0,33378.0,55.629999999999995,60.0,0.0,2017-04-17 00:00:00,18,多,39056.3696,002352.XSHE
-1.0,10250.0,106531.00000000001,10.393268292682928,246.0,0.0,2016-07-18 00:00:00,24,多,-7873.3265999999985,002310.XSHE
-1.0,0.0,0.0,0.0,200.0,0.0,2015-06-18 00:00:00,17,多,5344.8776,002304.XSHE
-1.0,400.0,21017.34,52.54335,802.66,0.0,2014-06-18 00:00:00,9,多,1564.7304000000004,002304.XSHE
-1.0,3500.0,38290.0,10.94,350.0,0.0,2013-05-23 00:00:00,17,多,1229.418800000005,002195.XSHE
-1.0,1100.0,35650.0,32.40909090909091,33.0,0.0,2016-07-20 00:00:00,26,多,39786.58370000002,600685.XSHG
-1.0,1200.0,12282.000000000002,10.235000000000001,120.0,0.0,2015-06-10 00:00:00,35,多,11383.402199999991,002146.XSHE
-1.0,910.0,20670.999999999996,22.71538461538461,70.0,0.0,2011-07-20 00:00:00,2,多,-259.72660000000064,600685.XSHG
-1.0,2210.0,12678.0,5.736651583710407,96.0,0.0,2012-05-28 00:00:00,10,多,503.9347600000049,000069.XSHE
-1.0,1440.0,11626.999999999998,8.074305555555554,42.0,0.0,2011-04-14 00:00:00,3,多,-376.64039999999875,000069.XSHE
-1.0,800.0,7991.999999999999,9.989999999999998,440.00000000000006,0.0,2013-06-03 00:00:00,16,多,4755.987600000004,600000.XSHG
