order_id,cumsum_quantity,market_value,avg_price,profits,transaction_cost,datetime,position_id,position_side,pnl,order_book_id
-1.0,700.0,4287.5,6.125,10.5,0.0,2014-06-26 00:00:00,4,多,-1909.856999999998,601099.XSHG
-1.0,4000.0,25200.0,6.3,320.0,0.0,2016-04-12 00:00:00,6,多,-1898.1727999999982,601099.XSHG
-1.0,1900.0,4028.0,2.12,95.0,0.0,2012-05-11 00:00:00,2,多,-27.613999999999834,000100.XSHE
-1.0,1100.0,31058.0,28.234545454545454,253.00000000000003,0.0,2016-08-10 00:00:00,5,多,276.6758000000028,600085.XSHG
-1.0,100.0,2424.0,24.24,25.0,0.0,2013-08-09 00:00:00,3,多,453.8008000000011,600085.XSHG
-1.0,300.0,4667.0,15.556666666666667,30.0,0.0,2012-07-04 00:00:00,1,多,20.0,600085.XSHG
-1.0,1900.0,7265.055958984431,3.8237136626233847,197.60000000000002,0.0,2014-06-27 00:00:00,2,多,-2602.9592410155756,600068.XSHG
-1.0,1900.0,9851.500000000002,5.1850000000000005,256.5,0.0,2013-06-19 00:00:00,2,多,129.95139999999972,600068.XSHG
-1.0,2900.0,51505.705882352944,17.76058823529412,4350.0,0.0,2016-05-23 00:00:00,7,多,2762.3828823529366,600066.XSHG
-1.0,1900.0,10208.7,5.373,165.29999999999998,0.0,2016-07-15 00:00:00,5,多,8532.823599999996,601117.XSHG
-1.0,1900.0,6724.607039094672,3.539266862681406,86.08900000000001,0.0,2014-07-15 00:00:00,2,多,-4330.942360905333,601111.XSHG
-1.0,1200.0,7455.98,6.213316666666667,71.22,0.0,2013-07-10 00:00:00,2,多,-378.4952000000009,601111.XSHG
-1.0,1100.0,6946.2,6.314727272727272,129.8,0.0,2012-07-17 00:00:00,2,多,-444.7152000000009,601111.XSHG
-1.0,1560.0,15047.500000000002,9.645833333333334,279.5,0.0,2012-06-18 00:00:00,1,多,267.2384,600048.XSHG
-1.0,2850.0,15068.900000000001,5.287333333333334,558.6,0.0,2014-05-22 00:00:00,3,多,5820.49,600048.XSHG
-1.0,12200.0,36251.04,2.9713967213114754,2034.96,0.0,2016-07-07 00:00:00,5,多,10343.355000000009,601288.XSHG
-1.0,1900.0,7809.95,4.1105,63.650000000000006,0.0,2012-07-06 00:00:00,1,多,-197.5988000000001,600050.XSHG
-1.0,1900.0,5995.812727272727,3.155690909090909,101.46000000000001,0.0,2014-05-27 00:00:00,2,多,-2706.300072727272,600050.XSHG
-1.0,1900.0,7263.32,3.8228,108.68000000000002,0.0,2016-06-30 00:00:00,4,多,15648.4956,600050.XSHG
-1.0,1700.0,19785.5,11.638529411764706,620.5000000000001,0.0,2014-06-13 00:00:00,3,多,5410.5346,600060.XSHG
-1.0,500.0,8333.499999999998,16.666999999999998,106.5,0.0,2016-11-08 00:00:00,2,多,28.043999999999798,600061.XSHG
-1.0,1000.0,25720.0,25.72,300.0,0.0,2012-05-09 00:00:00,1,多,279.184,600066.XSHG
-1.0,400.0,6272.0,15.68,200.0,0.0,2014-05-26 00:00:00,4,多,2909.1273999999976,600066.XSHG
-1.0,1900.0,7734.159000000001,4.07061,75.791,0.0,2013-07-01 00:00:00,1,多,-121.80780000000011,600050.XSHG
-1.0,1800.0,13490.0,7.4944444444444445,828.0000000000001,0.0,2014-07-25 00:00:00,4,多,-715.7604,601009.XSHG
-1.0,1800.0,8814.0,4.8966666666666665,162.0,0.0,2014-09-24 00:00:00,4,多,114.85500000000116,600028.XSHG
-1.0,700.0,25139.0,35.91285714285714,140.0,0.0,2013-09-10 00:00:00,3,多,1989.4581999999973,601318.XSHG
-1.0,700.0,4067.0000000000005,5.8100000000000005,42.0,0.0,2016-06-08 00:00:00,8,多,-2154.0229999999965,600019.XSHG
-1.0,1900.0,7766.302928571429,4.087527857142858,385.681,0.0,2012-06-14 00:00:00,1,多,50.59812857142782,601398.XSHG
-1.0,9200.0,28811.910215331613,3.131729371231697,2407.64,0.0,2014-06-20 00:00:00,2,多,700.7480153316102,601398.XSHG
-1.0,11200.0,44848.659047619054,4.00434455782313,2612.96,0.0,2016-07-08 00:00:00,5,多,4544.759647619057,601398.XSHG
-1.0,2600.0,9559.0,3.6765384615384615,260.0,0.0,2014-06-30 00:00:00,3,多,-1235.8341999999957,600019.XSHG
-1.0,4200.0,18403.055999999997,4.381679999999999,691.6,0.0,2013-06-18 00:00:00,2,多,-380.61219999999673,600019.XSHG
-1.0,600.0,5220.0,8.7,36.0,0.0,2014-04-30 00:00:00,3,多,2211.7456,601555.XSHG
-1.0,400.0,7480.000000000001,18.700000000000003,160.0,0.0,2014-07-18 00:00:00,5,多,921.4259999999994,601601.XSHG
-1.0,2000.0,45898.0,22.949,2000.0,0.0,2016-08-11 00:00:00,7,多,4729.948200000001,601601.XSHG
-1.0,1900.0,8865.581368602645,4.666095457159287,380.0,0.0,2012-06-11 00:00:00,1,多,-333.94803139735546,600019.XSHG
-1.0,900.0,11664.0,12.959999999999999,216.0,0.0,2013-07-24 00:00:00,2,多,-118.97400000000052,601607.XSHG
-1.0,1900.0,6120.849999999999,3.2215,106.40000000000002,0.0,2013-08-16 00:00:00,2,多,-359.66639999999927,601608.XSHG
-1.0,700.0,2122.4,3.032,40.60000000000001,0.0,2014-07-02 00:00:00,4,多,278.6476000000014,601608.XSHG
-1.0,1300.0,6754.799999999999,5.196,200.2,0.0,2016-07-19 00:00:00,6,多,7669.434799999998,600018.XSHG
-1.0,1500.0,37675.0,25.116666666666667,510.00000000000006,0.0,2016-07-20 00:00:00,7,多,6139.8250000000035,600498.XSHG
-1.0,1900.0,8542.237142857144,4.495914285714286,279.4,0.0,2014-07-29 00:00:00,4,多,1967.5483428571397,600018.XSHG
-1.0,6000.0,52825.0,8.804166666666667,460.00000000000006,0.0,2016-09-26 00:00:00,6,多,973.0994400000016,600016.XSHG
-1.0,3700.0,32005.0,8.65,592.0,0.0,2016-06-24 00:00:00,6,多,533.0754400000015,600016.XSHG
-1.0,1900.0,3150.0214330609683,1.6579060174005096,115.89999999999999,0.0,2014-07-15 00:00:00,3,多,-2620.0039669390344,601618.XSHG
-1.0,1900.0,19937.333333333336,10.493333333333334,209.00000000000003,0.0,2015-07-07 00:00:00,5,多,4527.274573333336,600016.XSHG
-1.0,100.0,1444.0,14.44,30.0,0.0,2014-06-25 00:00:00,2,多,-214.4059999999998,601628.XSHG
-1.0,1440.0,9226.0,6.406944444444445,120.0,0.0,2014-06-25 00:00:00,4,多,4111.926199999998,600016.XSHG
-1.0,100.0,1566.0,15.66,30.0,0.0,2012-05-21 00:00:00,2,多,287.3427999999995,601633.XSHG
-1.0,100.0,3528.0,35.28,82.0,0.0,2014-05-23 00:00:00,6,多,25.76819999999998,601633.XSHG
-1.0,2000.0,92580.00000000001,46.290000000000006,1600.0,0.0,2015-05-26 00:00:00,8,多,5397.142000000001,601633.XSHG
-1.0,1900.0,23346.393939393944,12.287575757575759,361.0,0.0,2016-05-31 00:00:00,9,多,4743.386339393922,601633.XSHG
-1.0,800.0,4600.0,5.75,120.0,0.0,2012-09-03 00:00:00,1,多,115.0,600016.XSHG
-1.0,8900.0,83291.99599018003,9.358651234851688,3230.7000000000003,0.0,2016-07-08 00:00:00,7,多,9451.42375018005,600015.XSHG
-1.0,600.0,4656.0,7.76,261.00000000000006,0.0,2014-07-10 00:00:00,5,多,1071.2423600000066,600015.XSHG
-1.0,2340.0,17351.999999999996,7.415384615384614,846.0,0.0,2013-07-24 00:00:00,3,多,965.0018000000002,600015.XSHG
-1.0,2300.0,6095.117048961841,2.6500508908529743,318.6000000000001,0.0,2012-07-11 00:00:00,1,多,-489.8899510381592,600018.XSHG
-1.0,1900.0,36951.000000000015,19.447894736842112,190.0,0.0,2014-10-24 00:00:00,2,多,-46.930879999998496,000338.XSHE
-1.0,1400.0,27216.00000000001,19.44000000000001,210.0,0.0,2014-08-27 00:00:00,2,多,-228.9908799999985,000338.XSHE
-1.0,400.0,8908.999999999998,22.272499999999997,40.0,0.0,2013-10-18 00:00:00,2,多,-418.5300799999985,000338.XSHE
-1.0,100.0,3858.9999999999995,38.589999999999996,45.0,0.0,2014-06-27 00:00:00,6,多,663.3267999999979,601318.XSHG
-1.0,100.0,3833.9999999999995,38.339999999999996,25.0,0.0,2014-09-12 00:00:00,6,多,688.3267999999979,601318.XSHG
-1.0,1900.0,60023.399999999994,31.591263157894733,665.0,0.0,2016-07-05 00:00:00,7,多,4135.494000000005,601318.XSHG
-1.0,1900.0,8778.0,4.62,456.0,0.0,2013-07-11 00:00:00,2,多,1138.870200000001,601328.XSHG
-1.0,1900.0,6982.010780598712,3.674742516104585,494.0,0.0,2014-07-11 00:00:00,3,多,288.92538059871083,601328.XSHG
-1.0,3700.0,19026.94696329672,5.142418098188303,999.0000000000001,0.0,2016-07-13 00:00:00,6,多,1928.8285632967193,601328.XSHG
-1.0,1900.0,5992.599999999999,3.154,190.0,0.0,2012-07-12 00:00:00,1,多,118.97799999999997,601333.XSHG
-1.0,1900.0,5624.0,2.96,152.0,0.0,2013-07-16 00:00:00,2,多,-124.24399999999937,601333.XSHG
-1.0,1000.0,2429.9999999999995,2.4299999999999997,80.0,0.0,2014-07-28 00:00:00,4,多,-498.24219999999804,601333.XSHG
-1.0,1900.0,7524.0,3.96,152.0,0.0,2016-07-25 00:00:00,8,多,-125.41840000000889,601333.XSHG
-1.0,1500.0,58049.99999999999,38.699999999999996,420.00000000000006,0.0,2016-08-10 00:00:00,4,多,27447.534,601336.XSHG
-1.0,1900.0,9570.571428571428,5.0371428571428565,133.0,0.0,2014-05-30 00:00:00,2,多,-144.85957142857148,000069.XSHE
-1.0,400.0,4952.0,12.38,48.0,0.0,2013-04-11 00:00:00,1,多,43.0,601377.XSHG
-1.0,1900.0,17898.89324810384,9.420470130580968,152.0,0.0,2014-06-17 00:00:00,1,多,-1640.3569518961617,601377.XSHG
-1.0,1400.0,6971.999999999999,4.9799999999999995,210.0,0.0,2014-06-03 00:00:00,4,多,-42.144999999998845,600028.XSHG
-1.0,1900.0,8367.794871794873,4.404102564102565,171.0,0.0,2013-09-12 00:00:00,2,多,-1219.8001282051282,600028.XSHG
-1.0,1900.0,12771.694444444445,6.7219444444444445,190.0,0.0,2012-09-17 00:00:00,1,多,-599.8001555555551,600028.XSHG
